watershed_group_code,status,notes,spp_sar
UPET,Out,Mackenzie basin,
UPRO,Out,Mackenzie basin,
USHU,In,,CH;WCT
USIK,Out,Mackenzie basin,
USKE,In,,
USTK,In,,
UTRE,In,,CO;SK
VICT,In,,
WILL,In,,CH;CO
WORC,In,,
ZYMO,In,,
