watershed_group_code,area_tlca_ha,area_total_ha,pct_tlca
TOAD,4228.53,730936.78,0.58
TOBA,54814.82,714230.65,7.67
TOOD,16979.31,485996.11,3.49
TSAY,7931.46,359737.82,2.20
TSEA,29061.32,363795.36,7.99
TSIT,40782.35,180688.95,22.57
TURN,37880.01,709817.74,5.34
TUTR,1588.68,481123.80,0.33
TUYR,18107.75,357525.41,5.06
TWAC,120032.24,218648.87,54.90
UARL,75901.86,648050.51,11.71
UBIR,3047.07,179288.30,1.70
UBTN,103994.66,520714.12,19.97
UCHR,140683.34,431454.68,32.61
UDEN,53523.60,352592.80,15.18
UEUT,235293.81,519971.77,45.25
UFRA,57963.28,675948.27,8.58
UFRT,19285.49,368609.89,5.23
UHAF,22602.81,378252.95,5.98
UISR,6837.22,380869.03,1.80
UJER,318.33,168431.62,0.19
UKEC,9466.61,324469.76,2.92
ULRD,134357.37,423956.81,31.69
UMUS,6333.03,425022.77,1.49
UNAR,687.00,395609.20,0.17
UNRS,57847.93,419835.25,13.78
UNTH,117817.94,538882.00,21.86
UNUR,1927.83,197033.20,0.98
UOMI,15681.34,391392.89,4.01
UPCE,174519.96,581994.64,29.99
UPET,47707.54,203238.92,23.47
UPRO,2250.39,411958.62,0.55
USHU,139494.06,524621.51,26.59
USIK,33322.88,641437.56,5.20
USKE,335.29,417663.09,0.08
USTK,4768.96,350341.38,1.36
UTRE,40791.91,147509.46,27.65
VICT,13699.36,99611.02,13.75
WILL,136379.11,318127.48,42.87
WORC,14426.02,328197.38,4.40
ZYMO,27425.57,302610.52,9.06
