watershed_group_code,ch_n,ch90_n,ch_latest,co_n,co90_n,co_latest,sk_n,sk90_n,sk_latest,st_n,st90_n,st_latest,ch_range,co_range,sk_range,st_range,obs_gt5_ind,mackenzie_ind,barrier_ind
GOLD,54,29,2012-04-20,168,89,2013-09-10,40,18,2001-02-01,336,107,2014-08-13,{Core},{Core},{Core},{Core},t,,
GRAI,18,6,1999-02-01,449,221,2013-10-02,69,28,2006-04-24,274,80,2000-02-01,{Core},{Core},{Core},{Core},t,,
GRNL,0,0,,0,0,,0,0,,1,0,1980-01-01,{Core},{Core},{Core},{Core},,,
GUIC,8,8,2012-08-15,8,4,2004-01-01,0,0,,5,5,1998-02-01,{Core},{Core},{Core},{Core},t,,
HARR,369,342,2016-08-11,425,317,2018-12-13,94,66,2016-08-10,449,214,2019-05-15,{Core},{Core},{Core},{Core},t,,
HAYR,0,0,,0,0,,0,0,,0,0,,,,,,,t,
HERR,47,8,1999-09-05,0,0,,1,0,1986-01-01,1,0,1965-10-14,{Core},{Core},{Core},{Core},t,,
HOLB,9,3,1993-01-01,173,137,2017-04-13,3,0,1984-12-12,85,29,2003-10-28,{Core},{Core},{Core},{Core},t,,
HOMA,77,35,2001-03-01,135,67,2017-10-13,1,1,1996-04-01,14,3,2001-03-01,{Core},{Core},{Core},{Core},t,,
HORS,54,49,2017-10-19,86,83,2017-10-19,32,23,2002-01-01,4,2,2002-01-01,{Core},{Core},{Core},{Core},t,,
INGR,0,0,,0,0,,0,0,,0,0,,,,,,,t,Site C Dam
INKR,63,48,2015-06-15,96,50,2018-09-13,43,25,2008-09-20,85,35,2000-01-01,{Core},{Core},{Core},{Core},t,,
ISKR,0,0,,0,0,,1,1,2017-02-18,4,4,2018-03-01,{Core},{Core},{Core},{Core},,,
JENR,3,3,9999-10-01,0,0,,0,0,,0,0,,{Core},,,,,,
JERV,28,14,2016-08-23,370,181,2018-09-04,15,0,1987-07-06,331,117,2018-10-15,{Core},{Core},{Core},{Core},t,,
KAHN,0,0,,0,0,,0,0,,0,0,,,,,,,t,
KAKC,0,0,,2,1,1995-01-01,2,1,1995-01-01,0,0,,{Core},{Core},{Core},{Core},,,
KCHL,0,0,,0,0,,0,0,,0,0,,,,,,,t,
KEEC,0,0,,22,2,1995-01-01,8,1,1995-01-01,0,0,,{Core},{Core},{Core},{Core},t,,
KETL,0,0,,0,0,,0,0,,0,0,,,,,,,,Chief Joseph Dam
KHOR,0,0,,0,0,,0,0,,0,0,,,,,,,,Chief Joseph Dam
KHTZ,10,6,1997-10-01,54,24,2002-03-01,11,7,1995-01-01,10,6,1998-04-01,{Core},{Core},{Core},{Core},t,,
KINR,10,0,1976-01-01,31,6,2010-10-26,32,6,2026-10-10,7,0,1987-01-01,{Core},{Core},{Core},{Core},t,,
KISK,0,0,,0,0,,0,0,,0,0,,,,,,,t,
KISP,132,40,2006-09-19,255,83,2018-04-18,84,23,2002-03-01,257,65,2002-09-25,{Core},{Core},{Core},{Core},t,,
KITL,59,44,2008-09-10,132,111,2008-09-20,39,28,2008-08-13,19,4,1996-01-01,{Core},{Core},{Core},{Core},t,,
KITR,75,48,2019-03-01,904,859,2019-03-01,12,6,2017-05-19,157,98,2019-06-03,{Core},{Core},{Core},{Core},t,,
KLAR,0,0,,0,0,,0,0,,0,0,,,,,,,,
KLIN,14,11,2009-04-19,32,29,1998-05-01,10,9,1998-05-01,10,9,1998-05-01,{Core},{Core},{Core},{Core},t,,
KLUM,144,51,2018-05-08,366,246,9999-01-01,52,8,2008-08-28,201,46,2007-05-04,{Core},{Core},{Core},{Core},t,,
KNIG,28,15,1996-09-01,181,136,2018-06-12,27,20,2000-09-19,89,34,2002-02-01,{Core},{Core},{Core},{Core},t,,
KOTL,0,0,,1,1,2018-02-01,0,0,,3,0,1974-08-14,,,,,,,Chief Joseph Dam
KOTR,0,0,,0,0,,0,0,,0,0,,,,,,,,Chief Joseph Dam
KSHR,24,12,2017-04-24,81,52,2017-04-23,3,3,2002-02-01,23,7,2002-03-01,{Core},{Core},{Core},{Core},t,,
KTSU,0,0,,60,27,1995-01-01,38,16,1995-01-01,0,0,,{Core},{Core},{Core},{Core},t,,
KUMR,8,2,1998-12-01,169,75,2010-08-03,68,19,2001-01-01,11,3,2002-03-01,{Core},{Core},{Core},{Core},t,,
KUSR,1,0,1989-01-01,0,0,,0,0,,0,0,,{Core},,,,,,
LARL,2,0,1981-04-30,0,0,,0,0,,0,0,,,,,,,,Chief Joseph Dam
LBIR,27,19,2013-09-09,53,29,2011-09-20,11,0,1988-10-07,10,6,1995-01-01,{Core},{Core},{Core},{Core},t,,
LBTN,0,0,,0,0,,0,0,,0,0,,,,,,,t,
LCHL,51,38,2017-05-31,4,3,2004-01-01,2,1,2000-01-01,0,0,,{Core},{Core},{Core},{Core},t,,
LCHR,23,13,2000-10-07,4,3,2004-01-01,5,4,2000-01-01,85,34,2000-01-01,{Core},{Core},{Core},{Core},t,,
LDEN,14,0,1986-01-01,6,0,1986-01-01,14,1,1995-01-01,18,5,1995-01-01,{Core},{Core},{Core},{Core},t,,
LEUT,0,0,,0,0,,0,0,,0,0,,{Core},{Core},{Core},{Core},,,
LFRA,556,502,2019-08-29,2696,2306,2019-08-29,338,292,2017-08-30,1625,1027,2019-06-08,{Core},{Core},{Core},{Core},t,,
LFRT,0,0,,0,0,,0,0,,0,0,,,,,,,t,
LHAF,0,0,,0,0,,0,0,,0,0,,,,,,,t,Site C Dam
LIAR,0,0,,0,0,,0,0,,0,0,,,,,,,t,
LILL,63,45,2018-05-10,251,176,2019-05-08,30,11,2017-09-06,92,30,2000-01-01,{Core},{Core},{Core},{Core},t,,
LISR,163,140,2017-08-19,197,148,2017-10-13,102,24,2017-10-13,37,36,2018-04-01,{Core},{Core},{Core},{Core},t,,
LKEC,0,0,,0,0,,0,0,,0,0,,,,,,,t,
LKEL,19,5,2016-05-29,128,65,2018-11-06,40,4,2001-01-01,35,6,1995-08-01,{Core},{Core},{Core},{Core},t,,
LMUS,0,0,,0,0,,0,0,,0,0,,,,,,,t,
LNAR,202,154,2017-08-18,334,200,2019-01-11,15,1,1995-01-01,215,85,2002-03-01,{Core},{Core},{Core},{Core},t,,
LNIC,57,40,2007-01-01,54,36,2012-10-27,1,1,1994-01-01,101,55,1999-01-01,{Core},{Core},{Core},{Core},t,,
LNRS,0,0,,0,0,,0,0,,0,0,,{Core},{Core},{Core},{Core},,,
LNTH,76,50,2013-10-17,166,129,2018-09-24,39,21,2006-06-29,3,0,1989-01-01,{Core},{Core},{Core},{Core},t,,
LOMI,0,0,,0,0,,0,0,,0,0,,,,,,,t,Site C Dam
LPCE,0,0,,0,0,,0,0,,0,0,,,,,,,t,
LPET,0,0,,0,0,,0,0,,0,0,,,,,,,t,
LPRO,0,0,,0,0,,0,0,,0,0,,,,,,,t,
LRAN,0,0,,0,0,,0,0,,0,0,,,,,,,t,
LRDO,1,1,2014-03-20,89,48,2014-09-24,25,10,1996-05-01,33,12,2000-01-01,{Core},{Core},{Core},{Core},t,,
LSAL,17,17,2008-07-18,0,0,,0,0,,0,0,,{Core},{Core},{Core},{Core},t,,
LSIK,0,0,,0,0,,0,0,,0,0,,,,,,,t,
LSKE,220,157,2017-11-02,429,311,2017-11-20,53,16,2012-09-08,229,79,2010-07-14,{Core},{Core},{Core},{Core},t,,
LSTR,34,7,2008-07-22,68,7,2008-07-23,104,13,2018-09-15,0,0,,{Core},{Core},{Core},{Core},t,,
LTRE,5,2,1994-01-01,0,0,,5,2,2001-01-01,0,0,,{Core},{Core},{Core},{Core},t,,
MAHD,8,5,1993-12-02,2,0,1976-01-01,0,0,,0,0,,{Core},{Core},{Core},{Core},t,,
MBNK,0,0,,27,11,2017-06-14,23,3,2001-01-01,0,0,,{Core},{Core},{Core},{Core},t,,
MCGR,52,5,2018-09-12,0,0,,2,2,1994-01-01,0,0,,{Core},{Core},{Core},{Core},t,,
MDEA,0,0,,0,0,,0,0,,0,0,,,,,,,t,
MESC,3,1,9999-10-01,0,0,,0,0,,1,1,1994-01-01,{Core},{Core},{Core},{Core},,,
MESI,0,0,,1,0,1947-01-01,2,1,1995-01-01,1,0,1947-01-01,,,,,,t,Site C Dam
MFRA,4,4,2000-09-15,0,0,,0,0,,0,0,,{Core},{Core},{Core},{Core},,,
MFRT,0,0,,0,0,,0,0,,0,0,,,,,,,t,
MIDR,4,3,1995-01-01,0,0,,57,26,2001-01-01,0,0,,{Core},{Core},{Core},{Core},t,,
MILL,0,0,,0,0,,0,0,,0,0,,,,,,,t,
MMUS,0,0,,0,0,,0,0,,0,0,,,,,,,t,
MORI,1,1,1995-01-01,342,109,2008-03-14,45,20,2006-05-04,140,40,2000-01-01,{Core},{Core},{Core},{Core},t,,
MORK,214,86,2018-07-19,0,0,,3,3,2004-06-22,1,0,1969-07-04,{Core},{Core},{Core},{Core},t,,
MORR,45,18,2009-08-18,158,86,2018-10-25,30,6,2002-01-01,118,29,2017-08-20,{Core},{Core},{Core},{Core},t,,
