watershed_group_code,length_km_total,length_km_accessible15,length_km_accessible15_structureless,length_km_accessible20,length_km_accessible20_structureless,length_km_accessible30,length_km_accessible30_structureless,stream_km_accessible15,stream_km_accessible15_structureless,stream_km_accessible20,stream_km_accessible20_structureless,stream_km_accessible30,stream_km_accessible30_structureless,lake_reservoir_area_ha_total,lake_reservoir_area_ha_accessible15,lake_reservoir_area_ha_accessible15_structureless,lake_reservoir_area_ha_accessible20,lake_reservoir_area_ha_accessible20_structureless,lake_reservoir_area_ha_accessible30,lake_reservoir_area_ha_accessible30_structureless,wetland_area_ha_total,wetland_area_ha_accessible15,wetland_area_ha_accessible15_structureless,wetland_area_ha_accessible20,wetland_area_ha_accessible20_structureless,wetland_area_ha_accessible30,wetland_area_ha_accessible30_structureless,n_pscis_all,n_pscis_gt2010,n_pscis_gt2010_accessible_15,n_pscis_gt2010_accessible_20,n_pscis_gt2010_accessible_30,n_modelled_culverts_total,n_modelled_culverts_accessible15,n_modelled_culverts_accessible20,n_modelled_culverts_accessible30
UBIR,5250.5,614.2,541.2,817.6,729.7,1347.4,1223.3,517.6,465.2,715.2,648.2,1223.9,1120.8,847.4,494.2,371.9,501.9,378.6,692.2,568.9,1500.2,1211.7,1083.9,1224.0,1096.2,1272.9,1144.9,0,0,0,0,0,83,51,58,71
UCHR,5789.1,4290.6,1778.2,4763.1,1996.5,5090.0,2116.1,3045.4,1228.6,3470.7,1413.0,3762.5,1524.3,5952.6,4603.7,2808.1,4848.4,3044.3,4915.6,3057.6,21457.8,16376.8,8473.5,16654.0,8688.6,16827.4,8728.8,4,3,4,4,4,1895,1410,1616,1724
UEUT,8691.8,0,0,0,0,0,0,123.2,123.2,123.2,123.2,123.2,123.2,45359.7,0,0,0,0,0,0,16704.4,0,0,0,0,0,0,8,2,0,0,0,479,0,0,0
UFRA,14134.4,1352.8,920.1,1687.2,1074.5,2722.4,1682.6,1311.7,961.2,1638.7,1111.9,2550.7,1620.4,3672.3,1784.0,1679.0,1803.3,1690.4,1904.6,1771.9,3042.5,1396.5,810.9,1412.6,813.8,1735.2,1091.3,169,83,98,125,152,1936,729,925,1233
UJER,4005.9,2773.0,2773.0,3073.2,3073.2,3390.6,3390.6,2042.7,2042.7,2326.0,2326.0,2629.2,2629.2,4760.2,4253.4,4253.4,4385.3,4385.3,4464.5,4464.5,8608.2,8260.1,8260.1,8262.8,8262.8,8286.5,8286.5,0,0,0,0,0,0,0,0,0
UNAR,10315.4,1451.8,1451.8,2027.8,2027.8,3735.5,3735.5,1265.8,1265.8,1808.1,1808.1,3460.6,3460.6,968.7,489.3,489.3,529.9,529.9,693.5,693.5,3799.5,2175.7,2175.7,2345.9,2345.9,2583.1,2583.1,0,0,0,0,0,0,0,0,0
UNRS,9844.8,0.0,0.0,0.0,0.0,0.0,0.0,62.3,62.3,62.3,62.3,62.3,62.3,66581.7,0,0,0,0,0,0,7132.0,3.3,3.3,3.3,3.3,3.3,3.3,0,0,0,0,0,1861,0,0,0
UNTH,9754.5,1070.1,764.1,1389.9,857.2,2352.1,1024.2,967.4,700.3,1256.8,788.7,2104.9,939.8,2581.1,630.1,573.7,670.8,576.2,914.3,587.1,6268.7,2008.0,1554.0,2273.1,1570.3,3233.1,1668.2,10,0,4,5,7,4433,455,726,1442
UNUR,4526.0,315.2,315.2,411.8,411.8,691.4,619.8,342.9,342.9,424.7,424.7,651.7,597.6,1481.3,109.7,109.7,128.6,128.6,500.8,333.2,253.1,129.0,129.0,130.3,130.3,166.1,166.1,0,0,0,0,0,163,1,1,23
USHU,7678.6,1349.9,468.3,1951.3,528.0,2942.8,590.0,1091.7,432.3,1614.3,486.8,2549.9,544.2,10536.4,8551.7,6060.9,9348.9,6062.9,9569.9,6065.7,2644.6,800.9,445.4,1222.7,481.5,1672.8,517.6,64,18,9,35,55,4207,632,1128,1941
USKE,9221.3,1856.4,1750.0,2702.3,2508.3,4330.3,3950.2,1553.0,1455.7,2323.8,2143.7,3885.9,3524.7,1650.4,929.5,895.3,1020.4,976.9,1168.7,1095.7,6144.1,3895.1,3834.6,4486.8,4396.9,4797.7,4688.4,0,0,0,0,0,204,135,162,190
USTK,7691.3,2851.6,2844.3,3979.9,3974.4,5294.9,5286.0,2388.9,2383.8,3424.2,3420.3,4666.5,4658.2,3319.1,2650.4,2648.1,2844.1,2842.2,2984.0,2982.0,6385.8,3979.8,3970.6,4657.6,4657.0,5133.0,5132.4,0,0,0,0,0,24,2,6,21
UTRE,2702.8,1507.4,806.4,1718.1,862.2,2473.5,979.5,966.7,421.8,1163.9,475.6,1840.4,582.2,14529.0,14133.7,13212.6,14185.3,13223.9,14495.7,13234.3,3982.8,2903.2,1230.8,3025.6,1241.2,3772.0,1443.2,58,58,34,40,56,915,442,561,863
VICT,826.8,364.9,33.1,451.5,40.4,601.1,56.3,303.8,32.2,374.4,39.5,513.2,54.7,1788.6,1301.1,7.2,1521.0,7.3,1654.4,8.2,328.8,129.1,0.5,160.8,0.5,185.9,3.9,0,0,0,0,0,1598,763,911,1193
WILL,5274.9,3576.8,1105.0,4140.2,1196.0,4710.0,1269.6,2870.1,859.5,3395.9,947.7,3938.4,1018.9,4435.0,4036.0,2653.6,4100.6,2653.7,4161.4,2657.5,7691.0,6731.5,2435.3,6992.0,2454.2,7150.6,2471.4,382,375,332,365,377,3832,2255,2752,3337
WORC,7703.4,1394.1,1154.1,1896.6,1593.9,2745.4,2285.5,1094.9,961.0,1555.4,1361.2,2335.1,1996.7,5150.3,2467.6,1540.2,2671.6,1731.7,3309.1,2236.2,1888.1,1249.1,1160.5,1325.8,1235.6,1456.9,1355.5,0,0,0,0,0,641,136,209,362
ZYMO,7386.2,1304.6,1060.7,1660.2,1286.7,2512.6,1853.4,1125.2,937.2,1446.7,1147.1,2264.4,1694.0,2279.5,1484.3,1179.9,1634.2,1204.0,1709.5,1241.7,2460.2,1654.1,1326.7,1751.1,1387.1,1907.4,1471.6,248,248,99,129,195,1623,244,378,672
