watershed_group_code,length_km_total,length_km_accessible15,length_km_accessible15_structureless,length_km_accessible20,length_km_accessible20_structureless,length_km_accessible30,length_km_accessible30_structureless,stream_km_accessible15,stream_km_accessible15_structureless,stream_km_accessible20,stream_km_accessible20_structureless,stream_km_accessible30,stream_km_accessible30_structureless,lake_reservoir_area_ha_total,lake_reservoir_area_ha_accessible15,lake_reservoir_area_ha_accessible15_structureless,lake_reservoir_area_ha_accessible20,lake_reservoir_area_ha_accessible20_structureless,lake_reservoir_area_ha_accessible30,lake_reservoir_area_ha_accessible30_structureless,wetland_area_ha_total,wetland_area_ha_accessible15,wetland_area_ha_accessible15_structureless,wetland_area_ha_accessible20,wetland_area_ha_accessible20_structureless,wetland_area_ha_accessible30,wetland_area_ha_accessible30_structureless,n_pscis_all,n_pscis_gt2010,n_pscis_gt2010_accessible_15,n_pscis_gt2010_accessible_20,n_pscis_gt2010_accessible_30,n_modelled_culverts_total,n_modelled_culverts_accessible15,n_modelled_culverts_accessible20,n_modelled_culverts_accessible30
KHTZ,8206.0,421.5,402.7,625.6,572.4,1464.5,1271.8,400.5,385.1,580.4,535.9,1280.5,1108.6,8647.4,472.6,461.8,647.7,589.0,2324.4,2092.9,1220.9,433.6,403.5,527.0,472.5,798.5,684.2,,,,,,659,26,62,256
KINR,5195.9,961.0,825.5,1323.8,1067.3,2086.5,1606.4,746.5,631.8,1033.8,822.6,1664.7,1257.3,6604.5,4038.7,3949.0,4130.3,3993.3,4462.2,4136.8,3249.2,1573.8,1483.5,2190.6,1968.4,2801.3,2467.8,8,0,5,7,7,496,143,223,356
KISP,11082.8,2819.5,1648.0,3634.2,2013.7,5484.0,2777.8,2415.3,1395.8,3164.7,1734.7,4932.7,2455.1,5586.3,4511.1,3791.0,4716.1,3843.6,5014.4,3983.9,4928.6,2799.6,1722.4,3353.1,1860.5,3832.7,2105.2,19,8,11,13,17,2794,831,1130,1864
KITL,10976.2,1136.9,1121.5,1395.3,1371.3,2096.3,2016.8,981.1,966.8,1198.7,1175.8,1855.9,1783.0,4538.4,2313.5,2311.3,2631.0,2628.8,2771.7,2765.7,1310.8,1096.3,1089.5,1114.0,1107.1,1166.1,1159.3,,,,,,151,35,56,90
KITR,10307.2,1378.1,1035.1,1756.4,1350.4,2518.4,1879.3,1269.8,974.3,1609.0,1252.4,2345.4,1759.2,3562.7,1542.1,1505.8,1638.5,1587.3,1801.5,1724.6,3249.4,2509.0,1623.5,2652.5,1763.4,2701.5,1805.2,7,7,4,6,6,1809,428,556,860
KLIN,13596.5,2119.6,803.4,2603.0,1032.8,3822.7,1685.8,1757.9,834.5,2190.0,1040.7,3293.3,1643.2,5638.4,3215.7,1353.8,3426.2,1452.9,4166.1,1663.8,5133.1,3494.8,990.1,3679.2,1037.7,3978.5,1136.2,,,,,,1478,509,630,906
KLUM,10436.9,1558.7,1169.6,1863.3,1339.0,2586.9,1774.9,1428.8,1096.8,1717.3,1259.9,2399.0,1665.5,3281.1,2320.2,2161.9,2327.8,2163.3,2371.6,2168.0,3574.6,2934.1,2603.4,3030.7,2608.2,3084.4,2625.0,70,70,43,52,63,2480,447,614,984
KNIG,13626.3,1311.6,844.2,1766.3,1087.5,2738.3,1576.2,1136.2,774.7,1542.4,989.6,2469.7,1461.2,8437.1,4455.3,2265.0,4836.5,2434.6,5042.5,2471.4,1458.0,825.2,574.6,910.8,608.6,1002.4,628.7,,,,,,4525,565,935,1714
KOTL,15093.3,5.1,4.2,5.1,4.2,5.2,4.3,363.0,362.1,363.0,362.1,363.1,362.2,46765.7,,,,,,,4059.9,,,,,,,394,211,0,0,0,7867,4,4,4
KOTR,13911.4,,,,,,,438.1,438.1,438.1,438.1,438.1,438.1,1588.1,,,,,,,1062.5,,,,,,,356,349,0,0,0,4042,0,0,0
