watershed_group_code,ch_n,ch_latest,co_n,co_latest,sk_n,sk_latest,st_n,st_latest,n_gt5
LIAR,0,,0,,0,,0,,
LILL,45,2018-05-10,176,2019-05-08,11,2017-09-06,30,2000-01-01,t
LISR,140,2017-08-19,148,2017-10-13,24,2017-10-13,36,2018-04-01,t
LKEC,0,,0,,0,,0,,
LKEL,5,2016-05-29,65,2018-11-06,4,2001-01-01,6,1995-08-01,t
LMUS,0,,0,,0,,0,,
LNAR,154,2017-08-18,200,2019-01-11,1,1995-01-01,85,2002-03-01,t
LNIC,40,2007-01-01,36,2012-10-27,1,1994-01-01,55,1999-01-01,t
LNRS,0,,0,,0,,0,,
LNTH,50,2013-10-17,129,2018-09-24,21,2006-06-29,0,,t
LOMI,0,,0,,0,,0,,
LPCE,0,,0,,0,,0,,
LPET,0,,0,,0,,0,,
LPRO,0,,0,,0,,0,,
LRAN,0,,0,,0,,0,,
LRDO,1,2014-03-20,48,2014-09-24,10,1996-05-01,12,2000-01-01,t
LSAL,17,2008-07-18,0,,0,,0,,t
LSIK,0,,0,,0,,0,,
LSKE,157,2017-11-02,311,2017-11-20,16,2012-09-08,79,2010-07-14,t
LSTR,7,2008-07-22,7,2008-07-23,13,2018-09-15,0,,t
LTRE,2,1994-01-01,0,,2,2001-01-01,0,,
MAHD,5,1993-12-02,0,,0,,0,,
MBNK,0,,11,2017-06-14,3,2001-01-01,0,,t
MCGR,5,2018-09-12,0,,2,1994-01-01,0,,
MDEA,0,,0,,0,,0,,
MESC,1,9999-10-01,0,,0,,1,1994-01-01,
MESI,0,,0,,1,1995-01-01,0,,
MFRA,4,2000-09-15,0,,0,,0,,
MFRT,0,,0,,0,,0,,
MIDR,3,1995-01-01,0,,26,2001-01-01,0,,
MILL,0,,0,,0,,0,,
MMUS,0,,0,,0,,0,,
MORI,1,1995-01-01,109,2008-03-14,20,2006-05-04,40,2000-01-01,t
MORK,86,2018-07-19,0,,3,2004-06-22,0,,t
MORR,18,2009-08-18,86,2018-10-25,6,2002-01-01,29,2017-08-20,t
MPRO,0,,0,,0,,0,,
MSKE,16,2002-03-01,15,2002-03-01,9,2002-03-01,12,2001-03-01,t
MSTR,0,,0,,0,,0,,
MURR,0,,0,,0,,0,,
MURT,0,,0,,0,,0,,
MUSK,2,1993-01-01,0,,0,,0,,
NAHR,7,1995-01-01,4,1995-01-01,1,1995-01-01,2,1995-01-01,t
NAKR,14,2011-10-12,6,2008-10-06,10,2008-10-06,0,,t
NARC,25,2015-08-15,1,1997-01-01,0,,0,,t
NASC,4,2018-02-25,68,2010-08-28,7,1995-01-01,5,1995-01-01,t
NASR,12,2000-10-05,14,2000-09-29,5,2001-01-01,22,2000-01-01,t
NATR,0,,0,,0,,0,,
NAZR,31,1998-10-01,0,,0,,0,,t
NBNK,0,,0,,0,,0,,
NECL,2,2004-01-01,60,2010-08-30,14,2010-08-07,1,1997-11-01,t
NECR,288,2017-07-19,1,2010-07-15,9,2010-07-15,0,,t
NEVI,0,,74,2015-09-15,11,1996-08-21,129,2018-05-16,t
NICL,8,2004-01-01,6,1998-01-01,0,,0,,t
NIEL,18,1996-05-01,112,2014-07-10,20,2001-09-16,33,1999-04-01,t
NIMP,13,2017-08-02,445,2017-08-11,31,2012-05-22,536,2019-05-07,t
OKAN,1,1998-04-01,0,,16,2015-10-24,0,,
OSPK,0,,0,,0,,0,,
OWIK,60,2007-08-24,147,2018-05-24,112,2018-05-24,56,2000-01-01,t
PARA,0,,0,,0,,0,,
PARK,9,2015-10-29,246,9999-03-01,1,1993-01-01,153,9999-03-01,t
PARS,0,,0,,0,,0,,
PCEA,0,,0,,0,,0,,
PINE,0,,0,,0,,0,,
PITR,0,,0,,0,,0,,
PORI,1,2000-12-01,49,2008-08-05,0,,7,2000-01-01,t
QUES,94,2016-08-26,34,2016-09-06,25,2001-01-01,4,1998-01-01,t
REVL,2,1999-01-01,2,1999-01-01,0,,0,,
SAHD,0,,0,,0,,0,,
SAHT,0,,0,,0,,0,,
SAJR,0,,1,1997-01-01,0,,0,,
SALM,8,9999-03-01,151,9999-03-01,2,2002-03-01,64,9999-03-01,t
SALR,5,1998-07-07,0,,0,,0,,
SANJ,39,2016-09-28,229,2018-08-01,6,2014-09-04,213,2014-09-25,t
SETN,173,2016-04-13,242,2016-04-13,102,2016-04-14,187,2015-11-16,t
SEYM,6,1995-01-01,80,2016-03-01,2,1995-01-01,12,1999-01-01,t
SHEK,0,,0,,0,,0,,
SHER,9,1998-03-01,2,1994-01-01,14,1998-03-01,10,1996-01-01,t
SHUL,86,2016-08-11,86,2014-08-20,131,2012-06-20,3,1997-01-01,t
SIML,0,,0,,0,,0,,
SKGT,0,,0,,0,,0,,
SLOC,0,,0,,0,,0,,
SMAR,0,,0,,0,,0,,
SMOK,0,,0,,0,,0,,
SPAT,0,,0,,0,,0,,
SQAM,137,2018-11-06,1659,2019-08-12,15,2015-04-01,805,2080-03-01,t
STHM,22,2016-07-27,15,2016-11-23,6,2000-01-01,1,1998-01-01,t
STIR,6,9999-10-01,6,2007-06-13,7,2018-09-15,1,1991-01-01,t
STUL,5,1995-01-01,1,1997-09-05,11,2001-01-01,0,,
STUR,26,2000-01-01,1,2004-01-01,17,2000-01-01,0,,t
SUST,34,2009-08-20,28,2007-08-29,9,2001-01-01,22,1999-09-01,t
SWIR,2,2011-08-24,0,,0,,0,,
TABR,51,2017-10-01,0,,0,,0,,t
TAHR,1,2003-01-01,0,,65,2014-12-09,11,2000-01-01,t
TAHS,27,2011-10-06,106,2018-08-14,35,2011-09-30,32,2011-10-02,t
TAKL,1,1994-01-01,0,,24,1999-08-19,0,,
TASR,2,1996-04-01,0,,4,2001-01-01,2,1996-05-01,
TATR,5,9999-10-01,4,2017-08-29,6,1994-01-01,1,1994-01-01,
TAYR,0,,0,,0,,0,,
TESR,14,2017-06-07,0,,0,,0,,t
THOM,29,2011-10-26,20,2016-07-25,6,2000-01-01,33,2000-01-01,t
TOAD,0,,0,,0,,0,,
TOBA,198,2016-05-26,352,2018-11-13,88,2016-05-14,51,2016-05-07,t
TOOD,0,,0,,0,,0,,
TSAY,23,2016-03-09,127,2017-07-23,4,2015-06-20,14,2003-10-16,t
TSEA,0,,0,,0,,0,,
TSIT,9,2016-09-24,251,2017-12-07,3,1994-01-01,58,2007-09-27,t
TURN,0,,0,,0,,0,,
TUTR,0,,0,,0,,1,1991-01-01,
TUYR,0,,0,,0,,0,,
TWAC,13,2016-10-21,3,2013-10-21,1,1997-01-01,0,,t
UARL,0,,0,,0,,0,,
UBIR,18,2017-10-11,33,2018-09-19,0,,1,1994-01-01,t
UBTN,0,,0,,0,,0,,
UCHR,12,2000-09-18,0,,0,,8,1996-05-01,t
UDEN,0,,0,,0,,0,,
UEUT,0,,0,,0,,0,,
UFRA,25,2017-07-12,0,,2,1994-01-01,0,,t
UFRT,0,,0,,0,,0,,
UHAF,0,,0,,0,,0,,
UISR,0,,0,,0,,0,,
UJER,3,1996-09-10,0,,0,,0,,
UKEC,0,,0,,0,,0,,
ULRD,0,,0,,0,,0,,
UMUS,0,,0,,0,,0,,
UNAR,6,1994-01-01,1,1994-01-01,0,,13,2000-01-01,t
UNRS,0,,1,2003-10-15,0,,0,,
UNTH,47,2015-10-15,157,2017-11-10,2,1997-09-01,0,,t
UNUR,2,1995-09-01,13,2018-09-13,2,1995-09-01,0,,t
UOMI,0,,0,,0,,0,,
UPCE,0,,0,,0,,0,,
UPET,0,,0,,0,,0,,
UPRO,0,,0,,0,,0,,
USHU,65,2001-10-19,103,2018-08-28,25,2001-03-01,0,,t
USIK,0,,0,,0,,0,,
USKE,1,1996-01-01,0,,0,,3,1997-01-01,
USTK,0,,0,,1,1998-04-01,11,2000-01-01,t
UTRE,0,,0,,7,2000-12-01,0,,
VICT,0,,92,2019-08-15,0,,25,2002-10-09,t
WILL,15,2010-10-26,1,1995-03-01,0,,0,,t
WORC,18,2018-08-14,122,2018-08-15,4,2002-03-01,13,2016-10-20,t
ZYMO,14,2018-06-07,68,2018-06-07,3,1998-06-01,23,2001-03-01,t
